position_id,fen,engine,best_move,evaluation_cp,time_taken,nodes,depth_reached
1,rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 4,RubiChess,c7c6,-67,0.048894643783569336,74644,15
2,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 0 5,RubiChess,f3g5,69,0.044003963470458984,76934,15
3,rnbqk2r/pppp1ppp/5n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 0 5,RubiChess,f3e5,187,0.1120452880859375,188780,15
4,rnbqkbnr/ppp2ppp/3p4/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 0 4,RubiChess,g8f6,-7,0.1505270004272461,266840,15
5,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 5,RubiChess,d2d3,24,0.11640524864196777,189424,15
6,rnbqk2r/pppp1ppp/5n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 5,RubiChess,d7d6,-16,0.12174654006958008,204588,15
7,r3k2r/ppp2ppp/2n1bn2/2bpp3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 0 8,RubiChess,e4d5,492,0.2213761806488037,476068,15
8,r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 6,RubiChess,e8g8,4,0.2350749969482422,392713,15
9,rnbqkb1r/ppp2ppp/3p1n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 5,RubiChess,f8e7,-24,0.14267969131469727,242136,15
10,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 0 5,RubiChess,f3g5,109,0.038361549377441406,64545,15
11,rnbqkb1r/pp3ppp/3ppn2/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 6,RubiChess,f1d3,261,0.12452554702758789,197835,15
12,rnbqkb1r/ppp2ppp/3p1n2/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 0 5,RubiChess,c7c5,12,0.07485508918762207,131768,15
13,rnbqkb1r/pp2pppp/3p1n2/2p5/4P3/3P1N2/PPP2PPP/RNBQKB1R w KQkq - 0 5,RubiChess,b1c3,-11,0.13247990608215332,223671,15
14,rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 4,RubiChess,f6e4,72,0.06659841537475586,121122,15
15,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R w KQkq - 0 5,RubiChess,f1e2,4,0.07531142234802246,130922,15
16,rnbqk2r/pppp1ppp/4pn2/8/1b2P3/3P1N2/PPP2PPP/RNBQKB1R w KQkq - 0 5,RubiChess,c2c3,77,0.07568955421447754,143334,15
17,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2NP1N2/PPP2PPP/R1BQKB1R b KQkq - 0 5,RubiChess,d7d5,18,0.07397055625915527,122149,15
18,rnbqk2r/pppp1ppp/4pn2/8/1b2P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 0 5,RubiChess,d7d5,18,0.1728372573852539,227122,15
19,rnbq1rk1/pppp1ppp/4pn2/8/1b2P3/3P1N2/PPP2PPP/RNBQKB1R w KQ - 0 6,RubiChess,b1d2,38,0.12766671180725098,218944,15
20,r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 0 6,RubiChess,c2c3,24,0.07985639572143555,125368,15
